term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster,tfidf,dfidf
0,32,1,3.820416544791399e-05,14.675910528756242,CD,3,"{'CD', 'NN', 'VBP'}",0,0,0,0,0.6600102399729123,202.03891280516578
000,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,000,000,000,0.9593205487480301,12.471167133724391
0000,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0000,0000,0000,12.471167133724391,12.471167133724391
000i12i12,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,000i12i12,000i12i12,000i12i12,0.10139160271320644,12.471167133724391
003559,1,6,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,003559,003559,003559,3.1177917834310978,12.471167133724391
01,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,01,01,01,3.1177917834310978,12.471167133724391
01s,3,3,3.581640510741937e-06,18.090948028035086,NNP,1,{'NNP'},0,01,01s,01s,1.0469716034748453,22.942334267448782
02,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,02,02,02,0.36679903334483505,12.471167133724391
03,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,03,03,03,3.1177917834310978,12.471167133724391
05,1,2,1.1938801702473122e-06,19.675910528756244,VBD,1,{'VBD'},0,05,05,05,0.9593205487480301,12.471167133724391
05h40,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,05h40,05h40,05h40,0.2445326888965567,12.471167133724391
063522,1,6,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,063522,063522,063522,0.21879240585481385,12.471167133724391
0672,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0672,0672,0672,0.5938651016059233,12.471167133724391
0800,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,0800,0800,0800,0.7798381165470529,22.942334267448782
0830,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0830,0830,0830,0.890797652408885,12.471167133724391
09,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,09,09,09,0.5668712333511087,12.471167133724391
0930,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0930,0930,0930,0.8314111422482927,12.471167133724391
0952,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0952,0952,0952,0.4453988262044425,12.471167133724391
0h,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0h,0h,0h,0.3779141555674058,12.471167133724391
0mv,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0mv,0mv,0mv,0.542224657988017,12.471167133724391
0s,2,2,2.3877603404946244e-06,18.675910528756244,NNP,2,"{'NN', 'NNP'}",0,0s,0s,0s,1.2745741259693768,22.942334267448782
0t,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0t,0t,0t,0.9593205487480301,12.471167133724391
0wen,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0wen,0wen,0wen,0.9593205487480301,12.471167133724391
1,163,1,0.0001946024677503,12.327182374525163,CD,11,"{'NN', 'VBD', 'NNP', 'VBZ', 'PRP', 'VB', 'VBP', 'CD', 'LS', 'JJ', 'NNS'}",0,1,1,1,0.7665846519934887,547.1796763453989
10,40,2,4.775520680989249e-05,14.35398243386888,CD,4,"{'CD', 'NN', 'VBP', 'POS'}",0,10,10,10,0.5043158141764577,262.84471676215486
100,19,3,2.268372323469893e-05,15.427983015312655,CD,2,"{'CD', 'NN'}",0,100,100,100,1.2457954229699588,142.52297297205888
1000,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1000,1000,1000,0.9385500382138138,22.942334267448782
10000,4,5,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,10000,10000,10000,0.6259578126250179,32.65861389900971
100000,1,6,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,100000,100000,100000,6.2355835668621955,12.471167133724391
100110120,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,100110120,100110120,100110120,0.34642130927012194,12.471167133724391
1004,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1004,1004,1004,1.6628222844965854,12.471167133724391
100a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,100a,100a,100a,0.33256445689931713,12.471167133724391
101,12,3,1.4326562042967747e-05,16.090948028035086,CD,1,{'CD'},0,101,101,101,1.0161949970525415,99.12909066595805
102,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,102,102,102,1.0288853958935071,75.76933706979513
103,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,103,103,103,1.388493773002105,75.76933706979513
104,12,3,1.4326562042967747e-05,16.090948028035086,CD,1,{'CD'},0,104,104,104,0.9327845254802234,99.12909066595805
105,10,3,1.1938801702473123e-05,16.35398243386888,CD,1,{'CD'},0,105,105,105,1.4342821292502628,83.71117919053872
106,8,3,9.551041361978498e-06,16.675910528756244,CD,1,{'CD'},0,106,106,106,0.6409325544732754,67.6466854816675
106a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,106a,106a,106a,1.6628222844965854,12.471167133724391
107,8,3,9.551041361978498e-06,16.675910528756244,CD,1,{'CD'},0,107,107,107,1.029560616983131,67.6466854816675
108,7,3,8.357161191731187e-06,16.86855560669864,CD,1,{'CD'},0,108,108,108,0.8144367863227232,59.31722779801941
109,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,109,109,109,0.43523972356592866,50.74619519418515
109a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,109a,109a,109a,0.23310592773316616,12.471167133724391
10c,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,10c,10c,10c,3.1177917834310978,12.471167133724391
10mm,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,10mm,10mm,10mm,0.9019667705952646,22.942334267448782
10th,5,4,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,10th,10th,10th,0.33106822054631374,32.65861389900971
11,25,2,2.984700425618281e-05,15.03205433898152,CD,1,{'CD'},0,11,11,11,0.5216982122464838,189.26891119207767
