term_str,n,n_chars,p,i,pos_group,n_pos
0,9,1,4.823693984853601e-05,14.339502088869171,CD,3
0000,1,4,5.359659983170668e-06,17.509427090311483,CD,1
000i12i12,1,9,5.359659983170668e-06,17.509427090311483,CD,1
0830,1,4,5.359659983170668e-06,17.509427090311483,CD,1
0930,1,4,5.359659983170668e-06,17.509427090311483,CD,1
0t,1,2,5.359659983170668e-06,17.509427090311483,CD,1
1,49,1,0.00026262333917536273,11.894717246196276,CD,11
10,9,2,4.823693984853601e-05,14.339502088869171,CD,4
100,6,3,3.2157959899024006e-05,14.924464589590327,CD,2
1000,3,4,1.6078979949512003e-05,15.924464589590327,CD,1
10000,1,5,5.359659983170668e-06,17.509427090311483,CD,1
101,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
102,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
103,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
104,5,3,2.679829991585334e-05,15.187498995424122,CD,1
105,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
106,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
107,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
108,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
109,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
10c,1,3,5.359659983170668e-06,17.509427090311483,CD,1
10mm,2,4,1.0719319966341335e-05,16.509427090311483,CD,1
11,8,2,4.287727986536534e-05,14.509427090311483,CD,1
110,4,3,2.143863993268267e-05,15.509427090311483,CD,1
111,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
112,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
113,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
114,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
115,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
116,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
117,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
118,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
119,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
12,18,2,9.647387969707202e-05,13.339502088869171,CD,3
120,3,3,1.6078979949512003e-05,15.924464589590327,CD,1
1200,1,4,5.359659983170668e-06,17.509427090311483,CD,1
121,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
122,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
123,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
124,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
125,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
126,2,3,1.0719319966341335e-05,16.509427090311483,CD,1
