term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
0,32,1,3.820416544791399e-05,14.675910528756242,CD,3,"{'CD', 'NN', 'VBP'}",0,0,0,0
000,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,000,000,000
0000,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0000,0000,0000
000i12i12,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,000i12i12,000i12i12,000i12i12
003559,1,6,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,003559,003559,003559
01,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,01,01,01
01s,3,3,3.581640510741937e-06,18.090948028035086,NNP,1,{'NNP'},0,01,01s,01s
02,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,02,02,02
03,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,03,03,03
05,1,2,1.1938801702473122e-06,19.675910528756244,VBD,1,{'VBD'},0,05,05,05
05h40,1,5,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,05h40,05h40,05h40
063522,1,6,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,063522,063522,063522
0672,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0672,0672,0672
0800,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,0800,0800,0800
0830,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0830,0830,0830
09,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,09,09,09
0930,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0930,0930,0930
0952,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0952,0952,0952
0h,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0h,0h,0h
0mv,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0mv,0mv,0mv
0s,2,2,2.3877603404946244e-06,18.675910528756244,NNP,2,"{'NN', 'NNP'}",0,0s,0s,0s
0t,1,2,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0t,0t,0t
0wen,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,0wen,0wen,0wen
1,163,1,0.0001946024677503119,12.327182374525165,CD,11,"{'NN', 'VBD', 'NNP', 'VBZ', 'PRP', 'VB', 'VBP', 'CD', 'LS', 'JJ', 'NNS'}",0,1,1,1
10,40,2,4.7755206809892493e-05,14.35398243386888,CD,4,"{'CD', 'NN', 'VBP', 'POS'}",0,10,10,10
100,19,3,2.2683723234698932e-05,15.427983015312657,CD,2,"{'CD', 'NN'}",0,100,100,100
1000,3,4,3.581640510741937e-06,18.090948028035086,CD,1,{'CD'},0,1000,1000,1000
10000,4,5,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,10000,10000,10000
100000,1,6,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,100000,100000,100000
100110120,1,9,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,100110120,100110120,100110120
1004,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,1004,1004,1004
100a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,100a,100a,100a
101,12,3,1.4326562042967747e-05,16.090948028035086,CD,1,{'CD'},0,101,101,101
102,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,102,102,102
103,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,103,103,103
104,12,3,1.4326562042967747e-05,16.090948028035086,CD,1,{'CD'},0,104,104,104
105,10,3,1.1938801702473123e-05,16.35398243386888,CD,1,{'CD'},0,105,105,105
106,8,3,9.551041361978498e-06,16.675910528756244,CD,1,{'CD'},0,106,106,106
106a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,106a,106a,106a
107,8,3,9.551041361978498e-06,16.675910528756244,CD,1,{'CD'},0,107,107,107
108,7,3,8.357161191731187e-06,16.86855560669864,CD,1,{'CD'},0,108,108,108
109,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,109,109,109
109a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,109a,109a,109a
10c,1,3,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,10c,10c,10c
10mm,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,10mm,10mm,10mm
10th,5,4,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,10th,10th,10th
11,25,2,2.9847004256182806e-05,15.032054338981519,CD,1,{'CD'},0,11,11,11
110,9,3,1.074492153222581e-05,16.505985527313932,CD,1,{'CD'},0,110,110,110
110a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,110a,110a,110a
110b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,110b,110b,110b
111,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,111,111,111
112,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,112,112,112
113,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,113,113,113
1130,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1130,1130,1130
114,7,3,8.357161191731187e-06,16.86855560669864,CD,1,{'CD'},0,114,114,114
115,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,115,115,115
115a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,115a,115a,115a
115b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,115b,115b,115b
116,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,116,116,116
116a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,116a,116a,116a
117,6,3,7.163281021483874e-06,17.090948028035086,CD,1,{'CD'},0,117,117,117
118,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,118,118,118
118a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,118a,118a,118a
119,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,119,119,119
12,39,2,4.656132663964518e-05,14.390508309893994,CD,3,"{'CD', 'NN', 'NNP'}",0,12,12,12
120,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,120,120,120
1200,1,4,1.1938801702473122e-06,19.675910528756244,CD,1,{'CD'},0,1200,1200,1200
120a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,120a,120a,120a
121,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,121,121,121
122,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,122,122,122
123,5,3,5.969400851236562e-06,17.35398243386888,CD,1,{'CD'},0,123,123,123
124,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,124,124,124
125,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,125,125,125
12500000,1,8,1.1938801702473122e-06,19.675910528756244,JJ,1,{'JJ'},0,12500000,12500000,12500000
126,4,3,4.775520680989249e-06,17.675910528756244,CD,1,{'CD'},0,126,126,126
12604,125,5,0.00014923502128091405,12.710126244094155,CD,1,{'CD'},0,12604,12604,12604
126a,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126a,126a,126a
126b,2,4,2.3877603404946244e-06,18.675910528756244,CD,1,{'CD'},0,126b,126b,126b
